Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
1,60,65.0,8450,7,5,2003,2003,196.0,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2003.0,2,548,0,61,0,0,0,0,0,2,2008,208500
2,20,80.0,9600,6,8,1976,1976,0.0,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,1976.0,2,460,298,0,0,0,0,0,0,5,2007,181500
3,60,68.0,11250,7,5,2001,2002,162.0,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2001.0,2,608,0,42,0,0,0,0,0,9,2008,223500
4,70,60.0,9550,7,5,1915,1970,0.0,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,1998.0,3,642,0,35,272,0,0,0,0,2,2006,140000
5,60,84.0,14260,8,5,2000,2000,350.0,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,2000.0,3,836,192,84,0,0,0,0,0,12,2008,250000
6,50,85.0,14115,5,5,1993,1995,0.0,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,1993.0,2,480,40,30,0,320,0,0,700,10,2009,143000
7,20,75.0,10084,8,5,2004,2005,186.0,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2004.0,2,636,255,57,0,0,0,0,0,8,2007,307000
8,60,,10382,7,6,1973,1973,240.0,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,1973.0,2,484,235,204,228,0,0,0,350,11,2009,200000
9,50,51.0,6120,7,5,1931,1950,0.0,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,1931.0,2,468,90,0,205,0,0,0,0,4,2008,129900
10,190,50.0,7420,5,6,1939,1950,0.0,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1939.0,1,205,0,4,0,0,0,0,0,1,2008,118000
11,20,70.0,11200,5,5,1965,1965,0.0,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1965.0,1,384,0,0,0,0,0,0,0,2,2008,129500
12,60,85.0,11924,9,5,2005,2006,286.0,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,2005.0,3,736,147,21,0,0,0,0,0,7,2006,345000
13,20,,12968,5,6,1962,1962,0.0,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1962.0,1,352,140,0,0,0,176,0,0,9,2008,144000
14,20,91.0,10652,7,5,2006,2007,306.0,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,2006.0,3,840,160,33,0,0,0,0,0,8,2007,279500
15,20,,10920,6,5,1960,1960,212.0,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1960.0,1,352,0,213,176,0,0,0,0,5,2008,157000
16,45,51.0,6120,7,8,1929,2001,0.0,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,1991.0,2,576,48,112,0,0,0,0,0,7,2007,132000
17,20,,11241,6,7,1970,1970,180.0,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,1970.0,2,480,0,0,0,0,0,0,700,3,2010,149000
18,90,72.0,10791,4,5,1967,1967,0.0,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,1967.0,2,516,0,0,0,0,0,0,500,10,2006,90000
19,20,66.0,13695,5,5,2004,2004,0.0,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2004.0,2,576,0,102,0,0,0,0,0,6,2008,159000
20,20,70.0,7560,5,6,1958,1965,0.0,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1958.0,1,294,0,0,0,0,0,0,0,5,2009,139000
21,60,101.0,14215,8,5,2005,2006,380.0,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,2005.0,3,853,240,154,0,0,0,0,0,11,2006,325300
22,45,57.0,7449,7,7,1930,1950,0.0,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1930.0,1,280,0,0,205,0,0,0,0,6,2007,139400
23,20,75.0,9742,8,5,2002,2002,281.0,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2002.0,2,534,171,159,0,0,0,0,0,9,2008,230000
24,120,44.0,4224,5,7,1976,1976,0.0,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,1976.0,2,572,100,110,0,0,0,0,0,6,2007,129900
25,20,,8246,5,8,1968,2001,0.0,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1968.0,1,270,406,90,0,0,0,0,0,5,2010,154000
26,20,110.0,14230,8,5,2007,2007,640.0,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,2007.0,3,890,0,56,0,0,0,0,0,7,2009,256300
27,20,60.0,7200,5,7,1951,2000,0.0,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2005.0,2,576,222,32,0,0,0,0,0,5,2010,134800
28,20,98.0,11478,8,5,2007,2008,200.0,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,2008.0,3,772,0,50,0,0,0,0,0,5,2010,306000
29,20,47.0,16321,5,6,1957,1997,0.0,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1957.0,1,319,288,258,0,0,0,0,0,12,2006,207500
30,30,60.0,6324,4,6,1927,1950,0.0,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1920.0,1,240,49,0,87,0,0,0,0,5,2008,68500
31,70,50.0,8500,4,4,1920,1950,0.0,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1920.0,1,250,0,54,172,0,0,0,0,7,2008,40000
32,20,,8544,5,6,1966,2006,0.0,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1966.0,1,271,0,65,0,0,0,0,0,6,2008,149350
33,20,85.0,11049,8,5,2007,2007,0.0,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2007.0,2,484,0,30,0,0,0,0,0,1,2008,179900
34,20,70.0,10552,5,5,1959,1959,0.0,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,1959.0,2,447,0,38,0,0,0,0,0,4,2010,165500
35,120,60.0,7313,9,5,2005,2005,246.0,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2005.0,2,556,203,47,0,0,0,0,0,8,2007,277500
36,60,108.0,13418,8,5,2004,2005,132.0,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,2004.0,3,691,113,32,0,0,0,0,0,9,2006,309000
37,20,112.0,10859,5,5,1994,1995,0.0,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,1995.0,2,672,392,64,0,0,0,0,0,6,2009,145000
38,20,74.0,8532,5,6,1954,1990,650.0,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,1954.0,2,498,0,0,0,0,0,0,0,10,2009,153000
39,20,68.0,7922,5,7,1953,2007,0.0,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1953.0,1,246,0,52,0,0,0,0,0,1,2010,109000
40,90,65.0,6040,4,5,1955,1955,0.0,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,,0,0,0,0,0,0,0,0,0,6,2008,82000
41,20,84.0,8658,6,5,1965,1965,101.0,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,1965.0,2,440,0,138,0,0,0,0,0,12,2006,160000
42,20,115.0,16905,5,6,1959,1959,0.0,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1959.0,1,308,0,104,0,0,0,0,0,7,2007,170000
43,85,,9180,5,7,1983,1983,0.0,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,1983.0,2,504,240,0,0,0,0,0,0,12,2007,144000
44,20,,9200,5,6,1975,1980,0.0,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1977.0,1,308,145,0,0,0,0,0,0,7,2008,130250
45,20,70.0,7945,5,6,1959,1959,0.0,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1959.0,1,300,0,0,0,0,0,0,0,5,2006,141000
46,120,61.0,7658,9,5,2005,2005,412.0,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2005.0,2,576,196,82,0,0,0,0,0,2,2010,319900
47,50,48.0,12822,7,5,2003,2003,0.0,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2003.0,2,670,168,43,0,0,198,0,0,8,2009,239686
48,20,84.0,11096,8,5,2006,2006,0.0,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,2006.0,3,826,0,146,0,0,0,0,0,7,2007,249700
49,190,33.0,4456,4,5,1920,2008,0.0,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,,0,0,0,0,102,0,0,0,0,6,2009,113000
50,20,66.0,7742,5,7,1966,1966,0.0,763,0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1966.0,1,386,0,0,0,0,0,0,0,1,2007,127000
51,60,,13869,6,6,1997,1997,0.0,182,0,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,1997.0,2,388,0,75,0,0,0,0,0,7,2007,177000
52,50,52.0,6240,6,6,1934,1950,0.0,0,0,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,1985.0,2,528,112,0,0,0,0,0,400,9,2006,114500
53,90,110.0,8472,5,5,1963,1963,0.0,104,712,0,816,816,0,0,816,1,0,1,0,2,1,5,0,1963.0,2,516,106,0,0,0,0,0,0,5,2010,110000
54,20,68.0,50271,9,5,1981,1987,0.0,1810,0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,1981.0,3,894,857,72,0,0,0,0,0,11,2006,385000
55,80,60.0,7134,5,5,1955,1955,0.0,384,0,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,1962.0,2,572,0,50,0,0,0,0,0,2,2007,130000
56,20,100.0,10175,6,5,1964,1964,272.0,490,0,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,1964.0,2,576,0,0,0,407,0,0,0,7,2008,180500
57,160,24.0,2645,8,5,1999,2000,456.0,649,0,321,970,983,756,0,1739,1,0,2,1,3,1,7,0,1999.0,2,480,115,0,0,0,0,0,0,8,2009,172500
58,60,89.0,11645,7,5,2004,2004,0.0,0,0,860,860,860,860,0,1720,0,0,2,1,3,1,7,0,2004.0,2,565,0,70,0,0,0,0,0,8,2006,196500
59,60,66.0,13682,10,5,2006,2006,1031.0,0,0,1410,1410,1426,1519,0,2945,0,0,3,1,3,1,10,1,2006.0,3,641,192,0,37,0,0,0,0,10,2006,438780
60,20,60.0,7200,5,7,1972,1972,0.0,632,0,148,780,780,0,0,780,0,0,1,0,2,1,4,0,1973.0,1,352,196,0,0,0,0,0,0,1,2008,124900
61,20,63.0,13072,6,5,2004,2004,0.0,941,0,217,1158,1158,0,0,1158,1,0,1,1,3,1,5,0,2006.0,2,576,0,50,0,0,0,0,0,5,2006,158000
62,75,60.0,7200,5,7,1920,1996,0.0,0,0,530,530,581,530,0,1111,0,0,1,0,3,1,6,0,1935.0,1,288,0,0,144,0,0,0,0,3,2007,101000
63,120,44.0,6442,8,5,2006,2006,178.0,24,0,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,2006.0,2,484,120,49,0,0,0,0,0,10,2007,202500
64,70,50.0,10300,7,6,1921,1950,0.0,0,0,576,576,902,808,0,1710,0,0,2,0,3,1,9,0,1990.0,2,480,12,11,64,0,0,0,0,4,2010,140000
65,60,,9375,7,5,1997,1998,573.0,739,0,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,1998.0,2,645,576,36,0,0,0,0,0,2,2009,219500
66,60,76.0,9591,8,5,2004,2005,344.0,0,0,1143,1143,1143,1330,0,2473,0,0,2,1,4,1,9,1,2004.0,3,852,192,151,0,0,0,0,0,10,2007,317000
67,20,,19900,7,5,1970,1989,287.0,912,0,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,1970.0,2,576,301,0,0,0,0,0,0,7,2010,180000
68,20,72.0,10665,7,5,2003,2003,167.0,1013,0,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,2003.0,2,558,144,29,0,0,0,0,0,6,2007,226000
69,30,47.0,4608,4,6,1945,1950,0.0,0,0,747,747,747,0,0,747,0,0,1,0,2,1,4,0,1945.0,1,220,0,0,0,0,0,0,0,6,2010,80000
70,50,81.0,15593,7,4,1953,1953,0.0,603,0,701,1304,1304,983,0,2287,0,0,2,0,3,1,7,1,1953.0,2,667,0,21,114,0,0,0,0,7,2006,225000
71,20,95.0,13651,7,6,1973,1973,1115.0,1880,0,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,1973.0,2,516,300,0,0,0,0,0,0,2,2007,244000
72,20,69.0,7599,4,6,1982,2006,0.0,565,0,280,845,845,0,0,845,1,0,1,0,2,1,4,0,1987.0,2,360,0,0,0,0,0,0,0,6,2007,129500
73,60,74.0,10141,7,5,1998,1998,40.0,0,0,832,832,885,833,0,1718,0,0,2,1,3,1,7,1,1998.0,2,427,0,94,0,0,291,0,0,12,2009,185000
74,20,85.0,10200,5,7,1954,2003,104.0,320,362,404,1086,1086,0,0,1086,1,0,1,0,3,1,6,0,1989.0,2,490,0,0,0,0,0,0,0,5,2010,144900
75,50,60.0,5790,3,6,1915,1950,0.0,0,0,840,840,840,765,0,1605,0,0,2,0,3,2,8,0,1915.0,1,379,0,0,202,0,0,0,0,5,2010,107400
76,180,21.0,1596,4,5,1973,1973,0.0,462,0,0,462,526,462,0,988,1,0,1,0,2,1,5,0,1973.0,1,297,120,101,0,0,0,0,0,11,2009,91000
77,20,,8475,4,7,1956,1956,0.0,228,0,724,952,952,0,0,952,0,0,1,0,2,1,4,0,1956.0,1,283,0,0,0,0,0,0,0,4,2008,135750
78,50,50.0,8635,5,5,1948,2001,0.0,336,41,295,672,1072,213,0,1285,1,0,1,0,2,1,6,0,1948.0,1,240,0,0,0,0,0,0,0,1,2008,127000
79,90,72.0,10778,4,5,1968,1968,0.0,0,0,1768,1768,1768,0,0,1768,0,0,2,0,4,2,8,0,,0,0,0,0,0,0,0,0,0,4,2010,136500
80,50,60.0,10440,5,6,1910,1981,0.0,0,0,440,440,682,548,0,1230,0,0,1,1,2,1,5,0,1966.0,2,440,74,0,128,0,0,0,0,5,2009,110000
81,60,100.0,13000,6,6,1968,1968,576.0,448,0,448,896,1182,960,0,2142,0,0,2,1,4,1,8,1,1968.0,1,509,0,72,0,0,252,0,0,6,2009,193500
82,120,32.0,4500,6,5,1998,1998,443.0,1201,0,36,1237,1337,0,0,1337,1,0,2,0,2,1,5,0,1998.0,2,405,0,199,0,0,0,0,0,3,2006,153500
83,20,78.0,10206,8,5,2007,2007,468.0,33,0,1530,1563,1563,0,0,1563,0,0,2,0,3,1,6,1,2007.0,3,758,144,99,0,0,0,0,0,10,2008,245000
84,20,80.0,8892,5,5,1960,1960,66.0,0,0,1065,1065,1065,0,0,1065,0,0,1,1,3,1,6,0,1974.0,2,461,74,0,0,0,0,0,0,7,2007,126500
85,80,,8530,7,5,1995,1996,22.0,0,0,384,384,804,670,0,1474,0,0,2,1,3,1,7,1,1995.0,2,400,120,72,0,0,0,0,700,5,2009,168500
86,60,121.0,16059,8,5,1991,1992,284.0,0,0,1288,1288,1301,1116,0,2417,0,0,2,1,4,1,9,1,1991.0,2,462,127,82,0,0,0,0,0,4,2006,260000
87,60,122.0,11911,6,5,2005,2005,0.0,0,0,684,684,684,876,0,1560,0,0,2,1,3,1,6,1,2005.0,2,400,100,38,0,0,0,0,0,3,2009,174000
88,160,40.0,3951,6,5,2009,2009,76.0,0,0,612,612,612,612,0,1224,0,0,2,1,2,1,4,0,2009.0,2,528,0,234,0,0,0,0,0,6,2009,164500
89,50,105.0,8470,3,2,1915,1982,0.0,0,0,1013,1013,1013,0,513,1526,0,0,1,0,2,1,6,0,,0,0,0,0,156,0,0,0,0,10,2009,85000
90,20,60.0,8070,4,5,1994,1995,0.0,588,0,402,990,990,0,0,990,1,0,1,0,3,1,5,0,,0,0,0,0,0,0,0,0,0,8,2007,123600
91,20,60.0,7200,4,5,1950,1950,0.0,0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,4,0,1950.0,2,420,0,29,0,0,0,0,0,7,2006,109900
92,20,85.0,8500,5,3,1961,1961,203.0,600,0,635,1235,1235,0,0,1235,0,0,1,0,2,1,6,0,1961.0,2,480,0,0,0,0,0,0,0,12,2006,98600
93,30,80.0,13360,5,7,1921,2006,0.0,713,0,163,876,964,0,0,964,1,0,1,0,2,1,5,0,1921.0,2,432,0,0,44,0,0,0,0,8,2009,163500
94,190,60.0,7200,6,6,1910,1998,0.0,1046,0,168,1214,1260,1031,0,2291,0,1,2,0,4,2,9,1,1900.0,2,506,0,0,0,0,99,0,0,11,2007,133900
95,60,69.0,9337,6,5,1997,1997,0.0,648,0,176,824,905,881,0,1786,1,0,2,1,3,1,7,0,1997.0,2,684,0,162,0,0,0,0,0,5,2007,204750
96,60,,9765,6,8,1993,1993,68.0,310,0,370,680,680,790,0,1470,0,0,2,1,3,1,6,1,1993.0,2,420,232,63,0,0,0,0,480,4,2009,185000
97,20,78.0,10264,7,5,1999,1999,183.0,1162,0,426,1588,1588,0,0,1588,0,0,2,0,3,1,6,0,1999.0,2,472,158,29,0,0,0,0,0,8,2006,214000
98,20,73.0,10921,4,5,1965,1965,48.0,520,0,440,960,960,0,0,960,1,0,1,0,3,1,6,0,1965.0,1,432,120,0,0,0,0,0,0,5,2007,94750
99,30,85.0,10625,5,5,1920,1950,0.0,108,0,350,458,835,0,0,835,0,0,1,0,2,1,5,0,1920.0,1,366,0,0,77,0,0,0,400,5,2010,83000
100,20,77.0,9320,4,5,1959,1959,0.0,569,0,381,950,1225,0,0,1225,1,0,1,1,3,1,6,0,,0,0,352,0,0,0,0,0,400,1,2010,128950
101,20,,10603,6,7,1977,2001,28.0,1200,0,410,1610,1610,0,0,1610,1,0,2,0,3,1,6,2,1977.0,2,480,168,68,0,0,0,0,0,2,2010,205000
102,60,77.0,9206,6,5,1985,1985,336.0,0,0,741,741,977,755,0,1732,0,0,2,1,3,1,7,1,1985.0,2,476,192,46,0,0,0,0,0,6,2010,178000
103,90,64.0,7018,5,5,1979,1979,0.0,0,0,0,0,1535,0,0,1535,0,0,2,0,4,2,8,0,1979.0,2,410,0,0,0,0,0,0,0,6,2009,118964
104,20,94.0,10402,7,5,2009,2009,0.0,0,0,1226,1226,1226,0,0,1226,0,0,2,0,3,1,6,0,2009.0,3,740,0,36,0,0,0,0,0,5,2010,198900
105,50,,7758,7,4,1931,1950,600.0,224,0,816,1040,1226,592,0,1818,0,0,1,1,4,1,7,2,1951.0,1,240,0,0,0,0,184,0,0,6,2007,169500
106,60,75.0,9375,8,5,2003,2004,768.0,0,0,1053,1053,1053,939,0,1992,0,0,2,1,3,1,9,1,2003.0,2,648,140,45,0,0,0,0,0,8,2008,250000
107,30,60.0,10800,4,7,1885,1995,0.0,0,0,641,641,1047,0,0,1047,0,0,1,0,2,1,6,0,1954.0,1,273,0,0,0,0,0,0,450,8,2007,100000
108,20,50.0,6000,5,5,1948,1950,0.0,104,169,516,789,789,0,0,789,0,0,1,0,2,1,5,0,1948.0,1,250,0,0,0,0,0,0,0,4,2008,115000
109,50,85.0,8500,5,7,1919,2005,0.0,0,0,793,793,997,520,0,1517,0,0,2,0,3,1,7,0,,0,0,0,0,144,0,0,0,0,8,2007,115000
110,20,105.0,11751,6,6,1977,1977,480.0,705,0,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,1977.0,2,546,0,122,0,0,0,0,0,1,2010,190000
111,50,75.0,9525,6,4,1954,1972,0.0,444,0,550,994,1216,639,0,1855,0,0,2,0,4,1,7,0,1954.0,1,325,182,0,0,0,0,0,0,10,2006,136900
112,80,,7750,7,5,2000,2000,0.0,250,0,134,384,774,656,0,1430,0,0,2,1,3,1,7,1,2000.0,2,400,180,0,0,0,0,0,0,4,2010,180000
113,60,77.0,9965,7,5,2007,2007,220.0,984,0,280,1264,1282,1414,0,2696,1,0,2,1,4,1,10,1,2007.0,3,792,120,184,0,0,168,0,0,10,2007,383970
114,20,,21000,6,5,1953,1953,184.0,35,869,905,1809,2259,0,0,2259,1,0,2,0,3,1,7,2,1953.0,2,450,166,120,192,0,0,0,0,10,2007,217000
115,70,61.0,7259,6,8,1945,2002,0.0,774,150,104,1028,1436,884,0,2320,1,0,2,1,3,1,9,1,1945.0,1,180,224,0,0,0,0,0,0,7,2007,259500
116,160,34.0,3230,6,5,1999,1999,1129.0,419,0,310,729,729,729,0,1458,0,0,2,1,2,1,5,1,1999.0,2,440,0,32,0,0,0,0,0,6,2007,176000
117,20,,11616,5,5,1962,1962,116.0,170,670,252,1092,1092,0,0,1092,0,1,1,0,3,1,6,1,1962.0,1,288,0,20,144,0,0,0,0,9,2009,139000
118,20,74.0,8536,5,5,2006,2007,0.0,0,0,1125,1125,1125,0,0,1125,0,0,1,1,2,1,5,0,2007.0,2,430,80,64,0,0,0,0,0,4,2007,155000
119,60,90.0,12376,7,5,1990,1990,0.0,1470,0,203,1673,1699,1523,0,3222,1,0,3,0,5,1,11,2,1990.0,3,594,367,0,0,0,0,0,0,5,2010,320000
120,60,65.0,8461,6,5,2005,2006,0.0,0,0,728,728,728,728,0,1456,0,0,2,1,3,1,8,1,2005.0,2,390,0,24,0,0,0,0,0,7,2006,163990
121,80,,21453,6,5,1969,1969,0.0,938,0,0,938,988,0,0,988,1,0,1,0,1,1,4,2,1969.0,2,540,0,130,0,130,0,0,0,10,2006,180000
122,50,50.0,6060,4,5,1939,1950,0.0,0,0,732,732,772,351,0,1123,0,0,1,0,3,1,4,0,1979.0,1,264,0,0,140,0,0,0,0,6,2007,100000
123,20,75.0,9464,6,7,1958,1958,135.0,570,0,510,1080,1080,0,0,1080,0,0,1,0,3,1,5,0,1958.0,1,288,0,0,0,0,130,0,0,6,2008,136000
124,120,55.0,7892,6,5,1993,1993,0.0,300,0,899,1199,1199,0,0,1199,0,0,2,0,2,1,5,0,1993.0,2,530,0,63,0,0,0,0,0,3,2008,153900
125,20,48.0,17043,6,5,1979,1998,0.0,0,0,1362,1362,1586,0,0,1586,0,0,2,0,3,1,7,1,1979.0,2,435,192,0,0,0,0,0,0,1,2009,181000
126,190,60.0,6780,6,8,1935,1982,0.0,490,0,30,520,520,0,234,754,1,0,1,0,2,1,5,0,,0,0,53,0,0,0,0,0,0,6,2006,84500
127,120,,4928,6,5,1976,1976,0.0,120,0,958,1078,958,0,0,958,0,0,2,0,2,1,5,1,1977.0,2,440,0,205,0,0,0,0,0,2,2007,128000
128,45,55.0,4388,5,7,1930,1950,0.0,116,0,556,672,840,0,0,840,0,0,1,0,3,1,5,1,,0,0,0,0,0,0,0,0,0,6,2007,87000
129,60,69.0,7590,6,5,1966,1966,266.0,512,0,148,660,660,688,0,1348,0,0,1,1,3,1,6,1,1966.0,2,453,188,108,0,0,0,0,0,7,2006,155000
130,20,69.0,8973,5,7,1958,1991,85.0,567,28,413,1008,1053,0,0,1053,0,1,1,1,3,1,6,0,1998.0,2,750,0,80,0,180,0,0,0,7,2006,150000
131,60,88.0,14200,7,6,1966,1966,309.0,445,0,479,924,1216,941,0,2157,0,0,2,1,4,1,8,2,1966.0,2,487,105,66,0,0,0,0,0,5,2006,226000
132,60,,12224,6,5,2000,2000,40.0,695,0,297,992,1022,1032,0,2054,1,0,2,1,3,1,7,1,2000.0,2,390,24,48,0,0,0,0,0,7,2009,244000
133,20,75.0,7388,5,6,1959,2002,0.0,405,0,658,1063,1327,0,0,1327,1,0,1,0,3,1,7,0,1974.0,2,624,0,0,0,0,0,0,0,7,2007,150750
134,20,,6853,8,5,2001,2002,136.0,1005,0,262,1267,1296,0,0,1296,1,0,2,0,2,1,6,0,2001.0,2,471,192,25,0,0,0,0,0,6,2009,220000
135,20,78.0,10335,5,6,1968,1993,0.0,570,0,891,1461,1721,0,0,1721,0,0,2,1,3,1,7,1,1968.0,2,440,0,96,180,0,0,0,0,7,2006,180000
136,20,80.0,10400,7,6,1970,1970,288.0,0,0,1304,1304,1682,0,0,1682,0,0,2,0,3,1,7,1,1970.0,2,530,98,0,0,0,0,0,0,5,2008,174000
137,20,,10355,5,5,1967,1967,196.0,695,0,519,1214,1214,0,0,1214,0,0,2,0,3,1,5,1,1967.0,1,318,0,111,0,0,0,0,0,7,2007,143000
138,90,82.0,11070,7,5,1988,1989,70.0,0,0,1907,1907,1959,0,0,1959,0,0,3,0,5,2,9,0,1989.0,3,766,0,0,0,0,0,0,0,7,2006,171000
139,60,73.0,9066,8,5,1999,2000,320.0,668,0,336,1004,1004,848,0,1852,0,0,2,1,3,1,7,2,1999.0,3,660,224,106,0,0,0,0,0,12,2008,230000
140,60,65.0,15426,6,5,1997,1997,0.0,821,0,107,928,928,836,0,1764,1,0,2,1,3,1,7,0,1997.0,2,470,276,99,0,0,0,0,0,8,2009,231500
141,20,70.0,10500,4,5,1971,1971,0.0,432,0,432,864,864,0,0,864,0,0,1,0,3,1,5,1,,0,0,0,0,0,0,0,0,0,4,2010,115000
142,20,78.0,11645,7,5,2005,2005,0.0,1300,0,434,1734,1734,0,0,1734,1,0,2,0,3,1,7,0,2005.0,2,660,160,24,0,0,0,0,0,1,2006,260000
143,50,71.0,8520,5,4,1952,1952,0.0,507,0,403,910,910,475,0,1385,0,0,2,0,4,1,6,0,2000.0,2,720,0,0,0,0,0,0,0,6,2010,166000
144,20,78.0,10335,7,5,1999,1999,183.0,679,0,811,1490,1501,0,0,1501,1,0,2,0,3,1,6,0,1999.0,2,577,144,29,0,0,0,0,0,6,2009,204000
